,Car_Name,Car_details,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Year_of_Manufacture,Steering_Type,Car_price
0,2021 Skoda Kushaq 1.0 TSI Style,"14,710 kms • Petrol • Manual",999 ,19.2,5,Grey,113.98,Disc,Drum,385/1405,1612,1760,4225,1640 ,-,First Owner,2021,Electric,₹ 15.99 Lakh
1,2020 Kia Seltos HTK Diesel,"37,166 kms • Diesel • Manual",1493 ,20.8,5,Maroon,113.43,Disc,Disc,433,1645,1800,4315,-,-,First Owner,2020,Electric,₹ 13.05 Lakh
2,2022 Mahindra Bolero Neo N10,"26,191 kms • Diesel • Manual",1493 ,17.29,7,White,100,Disc,Drum,384,1817,1795,3995,2215,-,First Owner,2022,Power,₹ 11.84 Lakh
3,2017 Maruti Baleno 1.2 Delta,"19,898 kms • Petrol • Manual",1197 ,21.4,5,Orange,83.1,Disc,Drum,339-litres,1510,1745,3995,1340,180 Kmph,Second Owner,2017,Power,₹ 6.05 Lakh
4,2020 Hyundai Creta SX Turbo Dualtone,"18,182 kms • Petrol • Automatic",1353 ,16.8,5,White,138.08,Disc,Disc,433,1635,1790,4300,-,-,First Owner,2020,Power,₹ 17.99 Lakh
5,2018 Maruti Swift VXI,"30,269 kms • Petrol • Manual",1197 ,21.21,5,Silver,81.80,Disc,Drum,268,1530,1735,3840,1315,-,First Owner,2018,Electric,₹ 6.45 Lakh
6,2019 Renault KWID 1.0 RXT AMT Opt BSIV,"9,668 kms • Petrol • Automatic",999 ,24.04,5,White,67,Disc,Drum,279,1478,1579,3731,-,-,First Owner,2019,Power,₹ 5.12 Lakh
7,2021 Renault Kiger RXZ,"5,198 kms • Petrol • Manual",999 ,19.17,5,Blue,71.01,Disc,Drum,405,1605,1750,3991,-,-,First Owner,2021,Electric,₹ 8.33 Lakh
8,2019 Mercedes-Benz GLC 220d 4MATIC,"19,396 kms • Diesel • Automatic",1950 ,-,5,White,194,Disc,Disc,550-litres,1644,1890,4658,2500,215 kmph,First Owner,2019,Power,₹ 51.95 Lakh
9,2021 Renault Kiger RXZ Turbo CVT DT,"14,475 kms • Petrol • Automatic",999 ,18.24,5,Blue,98.63,Disc,Drum,405,1605,1750,3991,-,-,First Owner,2021,Electric,₹ 10.08 Lakh
10,2014 Mahindra XUV500 W8 2WD,"96,000 kms • Diesel • Manual",2179 ,15.1,7,Grey,140,Disc & Caliper Type,Disc & Caliper Type,-,1785,1890,4585,2450,175 kmph,First Owner,2014,Power,₹ 9.25 Lakh
11,2014 Maruti Swift Dzire VXI,"59,000 kms • Petrol • Manual",1197 ,19.1,5,Silver,85.8,Ventilated Disc,Drum,320 liters,1555,1695,3995,1415,169 kmph,First Owner,2014,Power,₹ 5.90 Lakh
12,2017 BMW 3 Series GT Luxury Line,"38,703 kms • Diesel • Automatic",1995 ,21.76,5,Grey,188,Disc,Disc,520,1508,1828,4824,-,226 Kmph,First Owner,2017,Power,₹ 36.95 Lakh
13,2017 Ford Ecosport 1.5 Petrol Titanium Plus AT BSIV,"25,000 kms • Petrol • Automatic",1497 ,14.8,5,Brown,121.36,Ventilated Disc,Drum,352-litres,1647,1765,3998,1705Kg,171.43 kmph,First Owner,2017,Power,₹ 7.75 Lakh
14,2016 Maruti Ertiga SHVS ZDI,"87,000 kms • Diesel • Manual",1248 ,24.52,7,White,88.5,Ventilated Disc,Drum,135-liters,1685,1695,4296,-,160 kmph,First Owner,2016,Power,₹ 8.45 Lakh
15,2016 Skoda Rapid 1.6 MPI Style BSIV,"22,127 kms • Petrol • Manual",1598 ,14.3,5,Red,103.2,Disc,Drum,460,1466,1699,4413,1680Kg,185kmph,Second Owner,2016,Power,₹ 7.99 Lakh
16,2016 Mahindra XUV500 W10 AWD,"55,000 kms • Diesel • Manual",2179 ,16,7,White,140,Disc,Disc,720-litres,1785,1890,4585,2510,185 Kmph,First Owner,2016,Power,₹ 13 Lakh
17,2014 Maruti Celerio VXI AT,"69,408 kms • Petrol • Automatic",998 ,23.1,5,Maroon,67.04,Ventilated Disc,Drum,235-litres,1565,1635,3715,1250,150 Kmph,First Owner,2014,Power,₹ 4.40 Lakh
18,2018 Honda City i-VTEC V,"25,946 kms • Petrol • Manual",1497 ,17.4,5,White,117.6,Ventilated Disc,Drum,510,1495,1695,4440,1436,189 kmph,First Owner,2018,Power,₹ 8.95 Lakh
19,2021 Honda City 1.5 GXI CVT,"9,955 kms • Petrol • Automatic",-,14.5,5,-,-,-,-,-,-,-,-,-,-,First Owner,2021,Power,₹ 13.50 Lakh
20,2017 BMW 3 Series GT Luxury Line,"38,703 kms • Diesel • Automatic",1995 ,21.76,5,Grey,188,Disc,Disc,520,1508,1828,4824,-,226 Kmph,First Owner,2017,Power,₹ 36.95 Lakh
21,2012 Hyundai i10 Sportz AT,"41,439 kms • Petrol • Automatic",1197 ,16.95,5,Red,78.9,Ventilated Disc,Drum,-,1550,1595,3585,-,-,First Owner,2012,Power,₹ 4.12 Lakh
22,2018 Tata Nexon 1.2 Revotron XZ Plus,"27,725 kms • Petrol • Manual",1198 ,17,5,Blue,108.5,Disc,Drum,350,1607,1811,3994,-,154.19 kmph,First Owner,2018,Power,₹ 8.69 Lakh
