,Car_Name,Car_details,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Year_of_Manufacture,Steering_Type,Car_price
0,2020 MG Hector Sharp DCT,"12,870 kms • Petrol • Automatic",1451 ,13.96,5,Black,141,Disc,Disc,587,1760,1835,4655,-,-,Second Owner,2020,-,₹ 16.45 Lakh
1,2021 Renault Kiger RXZ,"12,109 kms • Petrol • Manual",999 ,19.17,5,Silver,71.01,Disc,Drum,405,1605,1750,3991,-,-,First Owner,2021,Electric,₹ 8.39 Lakh
2,2013 Maruti Swift VXI,"31,639 kms • Petrol • Manual",1197 ,18.6,5,Grey,85.8,Ventilated Disc,Drum,232-litres,1530,1695,3850,1415,160km/hr,First Owner,2013,Power,₹ 4.97 Lakh
3,2018 Renault Duster 110PS Diesel RxS AMT,"41,320 kms • Diesel • Automatic",1461 ,19.87,5,Grey,108.45,Disc,Drum,475-litres,1695,1822,4315,1777,168 Kmph,First Owner,2018,Power,₹ 9.48 Lakh
4,2017 Hyundai Grand i10 1.2 Kappa Sportz BSIV,"26,240 kms • Petrol • Manual",1197 ,18.9,5,Silver,81.86,Disc,Drum,256,1520,1660,3765,-,165 Kmph,First Owner,2017,Power,₹ 5.35 Lakh
5,2015 Maruti Swift VXI,"39,674 kms • Petrol • Manual",1197 ,21.21,5,Silver,81.80,Disc,Drum,268,1530,1735,3840,1315,-,First Owner,2015,Electric,₹ 5.51 Lakh
6,2014 Toyota Fortuner 4x2 AT,"98,000 kms • Diesel • Automatic",2982 ,12.55,7,White,168.5,Ventilated Disc,Drum,296-litres,1850,1840,4705,2510,176 Kmph,First Owner,2014,Power,₹ 14.50 Lakh
7,2007 Skoda New Laura L and K AT,"83,000 kms • Diesel • Automatic",1896 ,15.6,5,Silver,106,Disc,Disc,560 litres,"1,485 ","1,769 ","4,572 ","2,010 ",189 kmph,First Owner,2007,Power,₹ 3.75 Lakh
8,2021 MG Hector Sharp DCT,"31,200 kms • Petrol • Automatic",1451 ,-,5,Burgundy,141,Disc,Disc,587,1760,1835,4655,-,-,First Owner,2021,Power,₹ 18.75 Lakh
9,2017 Hyundai Grand i10 1.2 Kappa Sportz Option AT,"24,000 kms • Petrol • Automatic",1197 ,18.9,5,Blue,81.86,Disc,Drum,256,1520,1660,3765,-,165 Kmph,Second Owner,2017,Power,₹ 5.95 Lakh
10,2016 Maruti Swift VDI Glory Limited Edition,"71,998 kms • Diesel • Manual",1248 ,25.2,5,White,74,Ventilated Disc,Drum,204-liters,1530,1695,3850,1505,155 Kmph,Second Owner,2016,Power,₹ 6.95 Lakh
11,2009 Hyundai i10 Magna AT,"72,000 kms • Petrol • Automatic",1197 ,19.2,5,Black,80,Ventilated Disc,Drum,-,"1,550 ","1,595 ","3,565 ",-,-,First Owner,2009,Power,₹ 3.20 Lakh
12,2017 Maruti Celerio ZXI AMT BSIV,"28,426 kms • Petrol • Automatic",998 ,23.1,5,Red,67.04,Ventilated Disc,Drum,235-litres,1560,1600,3695,1250,150 Kmph,Second Owner,2017,Power,₹ 4.95 Lakh
13,2017 Honda CR-V 2.0L 2WD AT,"48,016 kms • Petrol • Automatic",1997 ,13.7,5,White,153.86,Disc,Disc,589-litres,1685,1820,4545,-,190 kmph,First Owner,2017,Power,₹ 18.95 Lakh
14,2009 Hyundai i10 Magna 1.2,"64,641 kms • Petrol • Manual",1197 ,20.36,5,Silver,78.9,Ventilated Disc,Drum,-,1550,1595,3585,-,-,First Owner,2009,Power,₹ 3.05 Lakh
15,2019 Kia Seltos GTX Plus DCT,"20,395 kms • Petrol • Automatic",1353 ,16.5,5,Grey,138.08,Disc,Disc,433,1645,1800,4315,-,-,First Owner,2019,Electric,₹ 17.37 Lakh
16,2019 Kia Seltos GTX Plus,"20,823 kms • Petrol • Manual",1353 ,16.5,5,Silver,138.08,Disc,Disc,433,1645,1800,4315,-,-,First Owner,2019,Electric,₹ 16.12 Lakh
17,2019 Hyundai Santro Era,"29,908 kms • Petrol • Manual",1086 ,20.3,5,Grey,68,Disc,Drum,235 litre,1560 ,1645 ,3610 ,-,-,First Owner,2019,Power,₹ 4.42 Lakh
18,2016 Hyundai i20 Magna 1.2,"13,955 kms • Petrol • Manual",1197 ,18.6,5,Red,81.83,Disc,Drum,295-litres,1505,1734,3985,-,170 Kmph,First Owner,2016,Power,₹ 6.01 Lakh
19,2020 Hyundai Grand i10 Nios Asta,"16,099 kms • Petrol • Manual",1197 ,20.7,5,Black,81.86,Disc,Drum,-,1520,1680,3805,-,-,First Owner,2020,Electric,₹ 7.09 Lakh
20,2015 Skoda Rapid 1.5 TDI Ambition,"1,27,376 kms • Diesel • Manual",1498 ,21.14,5,Silver,103.52,Disc,Drum,460-litres,1466,1699,4386,1760,186 Kmph,Second Owner,2015,Power,₹ 5.95 Lakh
21,2013 Hyundai i20 Magna Optional 1.2,"58,087 kms • Petrol • Manual",1197 ,18.5,5,White,82.9,Disc,Drum,-,1505,1710,3995,-,-,First Owner,2013,Power,₹ 4.79 Lakh
22,2018 Hyundai i20 1.4 Sportz,"40,499 kms • Diesel • Manual",1396 ,22.54,5,White,88.73,Disc,Drum,295-litres,1505,1734,3985,-,180 Kmph,First Owner,2018,Power,₹ 7.95 Lakh
23,2018 Hyundai i20 1.2 Asta,"39,731 kms • Petrol • Manual",1197 ,18.6,5,Red,81.83,Disc,Drum,295-litres,1505,1734,3985,-,170 Kmph,First Owner,2018,Power,₹ 7.95 Lakh
24,2019 Tata Harrier XZ,"96,000 kms • Diesel • Manual",1956 ,16.35,5,Grey,167.67,Disc,Drum,425,1706,1894,4598,-,-,First Owner,2019,Power,₹ 16.50 Lakh
25,2019 Hyundai Venue SX Diesel,"52,000 kms • Diesel • Manual",1493 ,23.7,5,White,98.6,Disc,Drum,350,1605 ,1770 ,3995 ,-,-,First Owner,2019,Electric,₹ 10.85 Lakh
26,2016 Mercedes-Benz GLA Class 200 CDI SPORT,"56,000 kms • Diesel • Automatic",2143 ,17.9,5,White,136,Disc,Disc,421-litres,1494,1804,4417,2020,205 Kmph,Second Owner,2016,Power,₹ 21 Lakh
27,2016 BMW X6 xDrive 40d M Sport,"52,000 kms • Diesel • Automatic",2993 ,15.87,5,Red,308.43,Disc,Disc,550-litres,1702,2170,4909,-,240 Kmph,Second Owner,2016,Power,₹ 54 Lakh
