,Car_Name,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Weight,Insp_score,top_speed,City_url,Car_price
0,2012 Maruti Alto K10,Petrol,"89,579 kms",998,Manual,20.92 kmpl,5,White,67.1,Ventilated Disc,Drum,,1460,1475,3620,1185,8,,https://www.cardekho.com/used-cars+in+ahmedabad,1.77 Lakh
1,2016 Maruti Wagon R,Petrol,"81,674 kms",998,Manual,21.79 kmpl,5,White,67.05,Disc,Drum,341 Litres,1675,1620,3655,1340,9,,https://www.cardekho.com/used-cars+in+ahmedabad,3.6 Lakh
2,2011 Honda City,Petrol,"38,647 kms",1497,Manual,17 kmpl,5,Other,115.64,Disc,Drum,506 litres,1480,1695,4420,-,8.5,,https://www.cardekho.com/used-cars+in+ahmedabad,3.99 Lakh
3,2019 Maruti Swift Dzire,Petrol,"9,718 kms",1197,Manual,21.21 kmpl,5,White,81.8,Disc,Drum,378,1515,1735,3995,1315Kg,10,,https://www.cardekho.com/used-cars+in+ahmedabad,6.65 Lakh
4,2012 Maruti Eeco,Petrol,"57,341 kms",1196,Manual,16.11 kmpl,5,White,72.42,Disc,Drum,540,1825,1475,3675,1510,-,,https://www.cardekho.com/used-cars+in+ahmedabad,2.79 Lakh
5,2020 Maruti Eeco,Petrol,"17,116 kms",1196,Manual,16.11 kmpl,5,White,72.42,Disc,Drum,540,1825,1475,3675,1510,9.5,,https://www.cardekho.com/used-cars+in+ahmedabad,4.72 Lakh
6,2016 Maruti Eeco,Petrol,"45,347 kms",1196,Manual,15.37 kmpl,5,White,73,Ventilated Disc,Drum,540-liters,1800,1475,3675,1510,-,145 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,3.81 Lakh
7,2019 Maruti S-Presso,Petrol,"24,230 kms",998,Manual,21.7 kmpl,5,Red,67.05,Ventilated Disc,Drum,270,1564,1520,3565,1170,9.5,,https://www.cardekho.com/used-cars+in+ahmedabad,4.22 Lakh
8,2013 Toyota Innova,Diesel,"94,754 kms",2494,Manual,12.99 kmpl,8,Silver,100,Ventilated Disc,Leading-Trailing Drum,,1760,1760,4585,2300,8.5,,https://www.cardekho.com/used-cars+in+ahmedabad,6.7 Lakh
9,2017 Maruti Eeco,Petrol,"88,362 kms",1196,Manual,16.11 kmpl,5,Silver,72.42,Disc,Drum,540,1825,1475,3675,1510,-,,https://www.cardekho.com/used-cars+in+ahmedabad,3.97 Lakh
10,2019 Maruti Eeco,Petrol,"14,161 kms",1196,Manual,15.37 kmpl,5,White,73,Ventilated Disc,Drum,540-liters,1800,1475,3675,1510,9.5,145 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.57 Lakh
11,2020 Maruti Eeco,Petrol,"19,627 kms",1196,Manual,16.11 kmpl,5,White,72.42,Disc,Drum,540,1825,1475,3675,1510,-,,https://www.cardekho.com/used-cars+in+ahmedabad,4.7 Lakh
12,2019 Maruti Swift Dzire,Petrol,"11,935 kms",1197,Manual,21.21 kmpl,5,Grey,81.8,Disc,Drum,378,1515,1735,3995,1315Kg,9.5,,https://www.cardekho.com/used-cars+in+ahmedabad,6.95 Lakh
13,2017 Maruti Baleno,Petrol,"34,669 kms",1197,Manual,21.01 kmpl,5,Grey,81.8,Disc,Drum,339-litres,1510,1745,3995,1340,9,,https://www.cardekho.com/used-cars+in+ahmedabad,5.36 Lakh
14,2015 Maruti Swift Dzire,Diesel,"48,570 kms",1248,Manual,28.4 kmpl,5,White,74.02,Disc,Drum,-,1515,1735,3995,1405Kg,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,4.86 Lakh
15,2017 Honda City,Diesel,"70,012 kms",1498,Manual,26.0 kmpl,5,White,98.6,Disc,Drum,-,1495,1695,4440,-,-,175 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,7.42 Lakh
16,2017 Maruti SX4 S Cross,Diesel,"86,698 kms",1248,Manual,25.1 kmpl,5,Silver,88.5,Disc,Disc,-,1595,1785,4300,1670,-,164.5 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,6.6 Lakh
17,2013 Toyota Etios,Diesel,"98,070 kms",1364,Manual,23.59 kmpl,5,Silver,null ,-,-,-,-,-,-,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,3.52 Lakh
18,2014 Maruti Swift,Diesel,"1,00,821 kms",1248,Manual,25.2 kmpl,5,White,74,Ventilated Disc,Drum,-,1530,1735,3840,1405,-,155 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,3.04 Lakh
19,2011 Mahindra Xylo,Diesel,"1,61,779 kms",2498,Manual,14.0 kmpl,8,Brown,112,Ventilated Disc,Drum,-,1895,1850,4520,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,1.41 Lakh
20,2017 Maruti Baleno,Petrol,"49,072 kms",1197,Manual,21.01 kmpl,5,Blue,81.8,Disc,Drum,339-litres,1510,1745,3995,1340,9,,https://www.cardekho.com/used-cars+in+ahmedabad,6.1 Lakh
21,2013 Maruti Wagon R,Petrol,"85,416 kms",998,Manual,20.51 kmpl,5,Other,67.04,Ventilated Disc,Drum,180-liters,1700,1495,3599,1350,-,152 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,2.8 Lakh
22,2016 Nissan Terrano,Diesel,"74,431 kms",1461,Manual,20.45 kmpl,5,Black,83.8,Disc,Drum,475-litres,1671,2000,4331,1764,9,156 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.7 Lakh
23,2017 Honda Amaze,Petrol,"59,642 kms",1198,Manual,17.8 kmpl,5,Silver,86.7,Disc,Drum,400-litres,1505,1680,3990,-,-,140 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,5.01 Lakh
24,2014 Maruti Wagon R,Petrol,"42,381 kms",998,Manual,21.79 kmpl,5,White,67.05,Disc,Drum,341 Litres,1675,1620,3655,1340,-,,https://www.cardekho.com/used-cars+in+ahmedabad,3.29 Lakh
25,2014 Maruti Wagon R,Petrol,"1,31,125 kms",998,Manual,21.79 kmpl,5,Grey,67.05,Disc,Drum,341 Litres,1675,1620,3655,1340,-,,https://www.cardekho.com/used-cars+in+ahmedabad,2.94 Lakh
26,2011 Maruti Wagon R,Petrol,"60,689 kms",998,Manual,20.51 kmpl,5,White,67.04,Ventilated Disc,Drum,180-liters,1700,1495,3599,1350,-,152 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,2.67 Lakh
27,2013 Maruti Swift,Diesel,"72,301 kms",1248,Manual,22.9 kmpl,5,White,74,Ventilated Disc,Drum,,1530,1695,3850,1505,-,,https://www.cardekho.com/used-cars+in+ahmedabad,3.99 Lakh
28,2018 Volkswagen Vento,Diesel,"97,922 kms",1498,Manual,22.27 kmpl,5,White,108.6,Ventilated Disc,Drum,494,1467,1699,4390,1750,-,180 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,7.11 Lakh
29,2012 Maruti Swift Dzire,Diesel,"80,084 kms",1248,Manual,23.4 kmpl,5,Grey,74,Ventilated Disc,Drum,320 liters,1555,1695,3995,1505,-,,https://www.cardekho.com/used-cars+in+ahmedabad,3.4 Lakh
30,2019 Maruti Swift Dzire,Petrol,"9,303 kms",1197,Manual,21.21 kmpl,5,White,81.8,Disc,Drum,378,1515,1735,3995,1315Kg,9.5,,https://www.cardekho.com/used-cars+in+ahmedabad,6.84 Lakh
31,2017 Maruti Wagon R,Petrol,"43,031 kms",998,Manual,20.51 kmpl,5,White,67.04,Ventilated Disc,Drum,180-liters,1670,1475,3636,1350,9,152 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,3.87 Lakh
32,2016 Maruti Swift,Petrol,"45,090 kms",1197,Manual,20.4 kmpl,5,White,81.8,Ventilated Disc,Drum,204-liters,1530,1735,3840,1315,9,165 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.64 Lakh
33,2016 Maruti Baleno,Petrol,"51,069 kms",1197,Manual,21.4 kmpl,5,Blue,83.1,Disc,Drum,339-litres,1510,1745,3995,1340,8.5,180 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.82 Lakh
34,2014 Hyundai Verna,Diesel,"65,484 kms",1582,Manual,22.32 kmpl,5,White,126.32,Disc,Disc,465-litre,1475,1700,4370,-,-,190km/hr,https://www.cardekho.com/used-cars+in+ahmedabad,5.43 Lakh
35,2015 Hyundai Grand i10,Petrol,"73,875 kms",1197,Manual,18.9 kmpl,5,White,82,Disc,Drum,256-liters,1520,1660,3765,-,8,165 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.8 Lakh
36,2018 Honda City,Petrol,"89,144 kms",1497,Manual,17.4 kmpl,5,Other,117.6,Ventilated Disc,Drum,510,1495,1695,4440,1436,-,189 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,7.64 Lakh
37,2016 Ford Ecosport,Diesel,"74,000 kms",1498,Manual,22.77 kmpl,5,White,98.59,Ventilated Disc,Drum,-,1708,1765,3999,-,-,182 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,7.25 Lakh
38,2019 Mercedes-Benz E-Class,Diesel,"16,000 kms",2987,Automatic,17.0 kmpl,5,White,254.8,Ventilated Disc,Disc,-,1494,1860,5063,-,-,250 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,62 Lakh
39,2018 Ford Ecosport,Diesel,"19,376 kms",1498,Manual,23.0 kmpl,5,White,98.96,Ventilated Disc,Drum,-,1647,1765,3998,1690Kg,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,9.25 Lakh
40,2013 Honda Brio,Petrol,"34,001 kms",1198,Manual,19.4 kmpl,5,Red,86.8,Disc,Drum,-,1500,1680,3610,-,-,-,https://www.cardekho.com/used-cars+in+ahmedabad,3.65 Lakh
41,2014 Hyundai Grand i10,Petrol,"31,403 kms",1197,Manual,18.9 kmpl,5,White,82,Disc,Drum,-,1520,1660,3765,-,-,165 Kmph,https://www.cardekho.com/used-cars+in+ahmedabad,4.65 Lakh
42,2014 Mercedes-Benz S-Class,Diesel,"58,000 kms",2987,Automatic,13.5 kmpl,5,White,282,"Disc,internally ventilated",Disc,-,1479,1871,5226,2580,-,250 kmph,https://www.cardekho.com/used-cars+in+ahmedabad,34 Lakh
