,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Steering_Type,Car_price,Brand,Model,Running_kms,Fuel_type,Gear_Transmission,Car_age
0,1451.0,13.96,5.0,Black,141.0,Disc,Disc,587.0,1760.0,1835.0,4655.0,1580.0,170.0,Second Owner,Power,1645000.0,mg,hector sharp dct,12870.0, Petrol , Automatic,3.0
1,999.0,19.17,5.0,Silver,71.01,Disc,Drum,405.0,1605.0,1750.0,3991.0,1580.0,170.0,First Owner,Electric,839000.0,renault,kiger rxz,12109.0, Petrol , Manual,2.0
2,1197.0,18.6,5.0,Grey,85.8,Ventilated Disc,Drum,232.0,1530.0,1695.0,3850.0,1415.0,160.0,First Owner,Power,497000.0,maruti,swift vxi,31639.0, Petrol , Manual,10.0
3,1461.0,19.87,5.0,Grey,108.45,Disc,Drum,475.0,1695.0,1822.0,4315.0,1777.0,168.0,First Owner,Power,948000.0,renault,duster 110ps diesel rxs amt,41320.0, Diesel , Automatic,5.0
4,1197.0,18.9,5.0,Silver,81.86,Disc,Drum,256.0,1520.0,1660.0,3765.0,1580.0,165.0,First Owner,Power,535000.0,hyundai,grand i10 1.2 kappa sportz bsiv,26240.0, Petrol , Manual,6.0
5,1197.0,21.21,5.0,Silver,81.8,Disc,Drum,268.0,1530.0,1735.0,3840.0,1315.0,170.0,First Owner,Electric,551000.0,maruti,swift vxi,39674.0, Petrol , Manual,8.0
6,2967.0,12.55,5.0,White,168.5,Ventilated Disc,Drum,296.0,1845.7999999999997,1840.0,4705.0,2510.0,176.0,First Owner,Power,1450000.0,toyota,fortuner 4x2 at,98000.0, Diesel , Automatic,9.0
7,1896.0,15.6,5.0,Silver,106.0,Disc,Disc,560.0,1485.0,1769.0,4572.0,2010.0,189.0,First Owner,Power,375000.0,skoda,new laura l and k at,83000.0, Diesel , Automatic,16.0
8,1451.0,18.6,5.0,Burgundy,141.0,Disc,Disc,587.0,1760.0,1835.0,4655.0,1580.0,170.0,First Owner,Power,1875000.0,mg,hector sharp dct,31200.0, Petrol , Automatic,2.0
9,1197.0,18.9,5.0,Blue,81.86,Disc,Drum,256.0,1520.0,1660.0,3765.0,1580.0,165.0,Second Owner,Power,595000.0,hyundai,grand i10 1.2 kappa sportz option at,24000.0, Petrol , Automatic,6.0
10,1248.0,25.2,5.0,White,74.0,Ventilated Disc,Drum,204.0,1530.0,1695.0,3850.0,1505.0,155.0,Second Owner,Power,695000.0,maruti,swift vdi glory limited edition,71998.0, Diesel , Manual,7.0
11,1197.0,19.2,5.0,Black,80.0,Ventilated Disc,Drum,350.0,1550.0,1595.0,3565.0,1580.0,170.0,First Owner,Power,320000.0,hyundai,i10 magna at,72000.0, Petrol , Automatic,14.0
12,998.0,23.1,5.0,Red,67.04,Ventilated Disc,Drum,235.0,1560.0,1600.0,3695.0,1250.0,150.0,Second Owner,Power,495000.0,maruti,celerio zxi amt bsiv,28426.0, Petrol , Automatic,6.0
13,1997.0,13.7,5.0,White,153.86,Disc,Disc,589.0,1685.0,1820.0,4545.0,1580.0,190.0,First Owner,Power,1895000.0,honda,cr-v 2.0l 2wd at,48016.0, Petrol , Automatic,6.0
14,1197.0,20.36,5.0,Silver,78.9,Ventilated Disc,Drum,350.0,1550.0,1595.0,3585.0,1580.0,170.0,First Owner,Power,305000.0,hyundai,i10 magna 1.2,64641.0, Petrol , Manual,14.0
15,1353.0,16.5,5.0,Grey,138.08,Disc,Disc,433.0,1645.0,1800.0,4315.0,1580.0,170.0,First Owner,Electric,1737000.0,kia,seltos gtx plus dct,20395.0, Petrol , Automatic,4.0
16,1353.0,16.5,5.0,Silver,138.08,Disc,Disc,433.0,1645.0,1800.0,4315.0,1580.0,170.0,First Owner,Electric,1612000.0,kia,seltos gtx plus,20823.0, Petrol , Manual,4.0
17,1086.0,20.3,5.0,Grey,68.0,Disc,Drum,235.0,1560.0,1645.0,3610.0,1580.0,170.0,First Owner,Power,442000.0,hyundai,santro era,29908.0, Petrol , Manual,4.0
18,1197.0,18.6,5.0,Red,81.83,Disc,Drum,295.0,1505.0,1734.0,3985.0,1580.0,170.0,First Owner,Power,601000.0,hyundai,i20 magna 1.2,13955.0, Petrol , Manual,7.0
19,1197.0,20.7,5.0,Black,81.86,Disc,Drum,350.0,1520.0,1680.0,3805.0,1580.0,170.0,First Owner,Electric,709000.0,hyundai,grand i10 nios asta,16099.0, Petrol , Manual,3.0
20,1498.0,21.14,5.0,Silver,103.52,Disc,Drum,460.0,1466.0,1699.0,4386.0,1760.0,186.0,Second Owner,Power,595000.0,skoda,rapid 1.5 tdi ambition,120165.09999999999, Diesel , Manual,8.0
