,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,height,width,length,Weight,top_speed,Brand,Model,car_price,city_name,Car_age
0,Petrol,89579.0,998.0,Manual,20.92,5.0,White,67.1,Ventilated Disc,Drum,1460.0,1475.0,3620.0,1185.0,,Maruti,Alto K10,177000.0,ahmedabad,9.0
1,Petrol,81674.0,998.0,Manual,21.79,5.0,White,67.05,Disc,Drum,1675.0,1620.0,3655.0,1340.0,,Maruti,Wagon R,360000.0,ahmedabad,5.0
2,Petrol,38647.0,1497.0,Manual,17.0,5.0,Other,115.64,Disc,Drum,1480.0,1695.0,4420.0,,,Honda,City,399000.0,ahmedabad,10.0
3,Petrol,9718.0,1197.0,Manual,21.21,5.0,White,81.8,Disc,Drum,1515.0,1735.0,3995.0,1315.0,,Maruti,Swift Dzire,665000.0,ahmedabad,2.0
4,Petrol,57341.0,1196.0,Manual,16.11,5.0,White,72.42,Disc,Drum,1825.0,1475.0,3675.0,1510.0,,Maruti,Eeco,279000.0,ahmedabad,9.0
5,Petrol,17116.0,1196.0,Manual,16.11,5.0,White,72.42,Disc,Drum,1825.0,1475.0,3675.0,1510.0,,Maruti,Eeco,472000.0,ahmedabad,1.0
6,Petrol,45347.0,1196.0,Manual,15.37,5.0,White,73.0,Ventilated Disc,Drum,1800.0,1475.0,3675.0,1510.0,145.0,Maruti,Eeco,381000.0,ahmedabad,5.0
7,Petrol,24230.0,998.0,Manual,21.7,5.0,Red,67.05,Ventilated Disc,Drum,1564.0,1520.0,3565.0,1170.0,,Maruti,S-Presso,422000.0,ahmedabad,2.0
8,Diesel,94754.0,2494.0,Manual,12.99,8.0,Silver,100.0,Ventilated Disc,Leading-Trailing Drum,1760.0,1760.0,4585.0,2300.0,,Toyota,Innova,670000.0,ahmedabad,8.0
9,Petrol,88362.0,1196.0,Manual,16.11,5.0,Silver,72.42,Disc,Drum,1825.0,1475.0,3675.0,1510.0,,Maruti,Eeco,397000.0,ahmedabad,4.0
10,Petrol,14161.0,1196.0,Manual,15.37,5.0,White,73.0,Ventilated Disc,Drum,1800.0,1475.0,3675.0,1510.0,145.0,Maruti,Eeco,457000.0,ahmedabad,2.0
11,Petrol,19627.0,1196.0,Manual,16.11,5.0,White,72.42,Disc,Drum,1825.0,1475.0,3675.0,1510.0,,Maruti,Eeco,470000.0,ahmedabad,1.0
12,Petrol,11935.0,1197.0,Manual,21.21,5.0,Grey,81.8,Disc,Drum,1515.0,1735.0,3995.0,1315.0,,Maruti,Swift Dzire,695000.0,ahmedabad,2.0
13,Petrol,34669.0,1197.0,Manual,21.01,5.0,Grey,81.8,Disc,Drum,1510.0,1745.0,3995.0,1340.0,,Maruti,Baleno,536000.0,ahmedabad,4.0
14,Diesel,48570.0,1248.0,Manual,28.4,5.0,White,74.02,Disc,Drum,1515.0,1735.0,3995.0,1405.0,,Maruti,Swift Dzire,486000.00000000006,ahmedabad,6.0
15,Diesel,70012.0,1498.0,Manual,26.0,5.0,White,98.6,Disc,Drum,1495.0,1695.0,4440.0,,175.0,Honda,City,742000.0,ahmedabad,4.0
